iter174000 - BLEU = 2.09, 41.6/10.2/3.3/1.2 (BP=0.331, ratio=0.475, hyp_len=32131, ref_len=67703)
iter175000 - BLEU = 2.18, 42.0/10.3/3.2/1.1 (BP=0.345, ratio=0.485, hyp_len=32805, ref_len=67703)
iter176000 - BLEU = 2.10, 41.2/10.2/3.3/1.2 (BP=0.331, ratio=0.475, hyp_len=32157, ref_len=67703)
iter177000 - BLEU = 2.15, 41.4/10.1/3.2/1.2 (BP=0.344, ratio=0.484, hyp_len=32737, ref_len=67703)
iter178000 - BLEU = 1.99, 41.5/10.0/3.2/1.1 (BP=0.327, ratio=0.472, hyp_len=31968, ref_len=67703)
iter179000 - BLEU = 2.15, 41.8/10.2/3.3/1.1 (BP=0.345, ratio=0.484, hyp_len=32796, ref_len=67703)
iter180000 - BLEU = 2.15, 39.5/9.6/3.0/1.0 (BP=0.369, ratio=0.501, hyp_len=33915, ref_len=67703)
iter181000 - BLEU = 1.98, 41.6/10.1/3.2/1.1 (BP=0.319, ratio=0.467, hyp_len=31601, ref_len=67703)
iter182000 - BLEU = 2.28, 41.3/10.2/3.3/1.2 (BP=0.359, ratio=0.494, hyp_len=33450, ref_len=67703)
iter183000 - BLEU = 1.98, 40.4/9.6/3.0/1.1 (BP=0.334, ratio=0.477, hyp_len=32309, ref_len=67703)
iter184000 - BLEU = 2.21, 41.4/10.0/3.1/1.1 (BP=0.362, ratio=0.496, hyp_len=33594, ref_len=67703)
iter185000 - BLEU = 2.27, 40.0/9.6/3.0/1.0 (BP=0.389, ratio=0.514, hyp_len=34817, ref_len=67703)
iter186000 - BLEU = 2.12, 41.3/10.1/3.1/1.0 (BP=0.357, ratio=0.492, hyp_len=33335, ref_len=67703)
iter187000 - BLEU = 2.15, 39.8/9.4/2.9/1.0 (BP=0.380, ratio=0.508, hyp_len=34414, ref_len=67703)
iter188000 - BLEU = 2.05, 41.1/10.0/3.2/1.0 (BP=0.339, ratio=0.480, hyp_len=32507, ref_len=67703)
iter189000 - BLEU = 2.06, 42.0/10.0/3.1/1.0 (BP=0.339, ratio=0.480, hyp_len=32530, ref_len=67703)
iter190000 - BLEU = 2.10, 41.5/10.1/3.2/1.1 (BP=0.338, ratio=0.479, hyp_len=32455, ref_len=67703)
iter191000 - BLEU = 2.22, 40.8/10.0/3.2/1.2 (BP=0.353, ratio=0.490, hyp_len=33176, ref_len=67703)
iter192000 - BLEU = 2.16, 42.2/10.4/3.4/1.2 (BP=0.334, ratio=0.477, hyp_len=32300, ref_len=67703)
iter193000 - BLEU = 2.10, 41.5/10.1/3.2/1.1 (BP=0.338, ratio=0.480, hyp_len=32477, ref_len=67703)
iter194000 - BLEU = 2.05, 41.2/10.0/3.2/1.0 (BP=0.338, ratio=0.480, hyp_len=32470, ref_len=67703)
iter195000 - BLEU = 2.23, 41.9/10.2/3.2/1.1 (BP=0.358, ratio=0.493, hyp_len=33384, ref_len=67703)
iter196000 - BLEU = 2.07, 40.7/9.8/3.0/1.0 (BP=0.357, ratio=0.493, hyp_len=33359, ref_len=67703)
iter197000 - BLEU = 2.19, 40.6/10.0/3.2/1.1 (BP=0.355, ratio=0.491, hyp_len=33246, ref_len=67703)
iter198000 - BLEU = 1.93, 41.4/10.0/3.1/1.0 (BP=0.325, ratio=0.471, hyp_len=31875, ref_len=67703)
iter199000 - BLEU = 2.04, 42.0/10.3/3.3/1.1 (BP=0.325, ratio=0.471, hyp_len=31879, ref_len=67703)
iter200000 - BLEU = 1.80, 41.8/10.3/3.3/1.1 (BP=0.285, ratio=0.443, hyp_len=30006, ref_len=67703)
iter201000 - BLEU = 2.32, 40.3/9.6/3.0/1.0 (BP=0.395, ratio=0.519, hyp_len=35105, ref_len=67703)
iter202000 - BLEU = 2.23, 41.1/9.9/3.1/1.1 (BP=0.363, ratio=0.496, hyp_len=33612, ref_len=67703)
iter203000 - BLEU = 2.37, 41.1/10.1/3.2/1.1 (BP=0.383, ratio=0.510, hyp_len=34541, ref_len=67703)
iter204000 - BLEU = 2.39, 39.3/9.7/3.1/1.0 (BP=0.404, ratio=0.524, hyp_len=35503, ref_len=67703)
iter205000 - BLEU = 2.11, 40.0/9.7/3.0/1.0 (BP=0.359, ratio=0.494, hyp_len=33434, ref_len=67703)
